,song,artist,cp,section,Track (last.fm),Artist (last.fm),Listener Count (last.fm),Play Count (last.fm),Genre (last.fm),Track (Spotify),Artist (Spotify),Popularity (Spotify),Release Date (Spotify)
674,Break Free feat - Ariana Grande,Zedd,"1,4,6,5",Pre-Chorus,,,,,,,,,
675,Martha,Tom Waits,"1,4,6,5",Intro,Martha,Tom Waits,173162,899257,"blues, singer-songwriter, piano, Tom Waits, rock",Martha,Tom Waits,57.0,1973-03-06
676,Dirt,Florida Georgia Line,"1,4,6,5",Chorus,Dirt,Florida Georgia Line,49742,255881,"country, modern country, 10s, billboard, 2014",Dirt,Florida Georgia Line,64.0,2014-10-14
677,Trumpets,Jason Derulo,"1,4,6,5",Chorus,Trumpets,Jason Derülo,228996,1230767,"2014, trumpet, top 40, r&b, rnb",,,,
678,Silence,Jay Chou,"1,4,6,5",Intro,Silence,周杰倫,984,9959,"C-pop, cpop",,,,
679,Sooner Or Later,Mat Kearney,"1,4,6,5",Chorus,Sooner Or Later,Mat Kearney,58040,381198,"pop, indie, rock, 2012, nicole",Sooner Or Later,Mat Kearney,42.0,2011-01-01
680,Youth,Daughter,"1,4,6,5",Intro,Youth,Daughter,471400,4492162,"indie, indie folk, alternative, folk, LastfmSC",Youth,Daughter,66.0,2013-01-01
681,Where The Streets Have No Name,U2,"1,4,6,5",Chorus,Where the Streets Have No Name,U2,552669,2943174,"rock, U2, 80s, classic rock, irish",,,,
682,Say,John Mayer,"1,4,6,5",Chorus,Say,John Mayer,229821,1431220,"acoustic, john mayer, pop, Soundtrack, singer-songwriter",Say,John Mayer,63.0,2006-10-13
683,I Want To Know What Love Is,Foreigner,"1,4,6,5",Verse,I Want to Know What Love Is,Foreigner,451640,2001336,"80s, classic rock, rock, Foreigner, Love",I Want to Know What Love Is,Foreigner,36.0,2011-09-13
684,Rejoice,Dustin Kensrue,"1,4,6,5",Verse,Rejoice,Dustin Kensrue,4542,21100,"relevant magazine, mars hill",,,,
685,Tanner Boyle vs the 7th Grade,AM Taxi,"1,4,6,5",Chorus,Tanner Boyle Vs. The 7th Grade,AM Taxi,2667,18682,,,,,
686,Club Can't Handle Me,Flo Rida,"1,4,6,5",Chorus,Club Can't Handle Me,Flo Rida,53819,373103,"dance, party, Hip-Hop, pop, rap",,,,
687,Junebug,Robert Francis,"1,4,6,5",Chorus,Junebug,Robert Francis,45904,309268,"alternative, rock, indie, singer-songwriter, 00s",Junebug,Robert Francis,43.0,2009-10-09
688,Girls Chase Boys,Ingrid Michaelson,"1,4,6,5",Chorus,Girls Chase Boys,Ingrid Michaelson,121897,663375,"pop, female vocalists, catchy, 2014, best of 2014",Girls Chase Boys,Ingrid Michaelson,62.0,2014-04-15
689,Ugly Heart ,GRL,"1,4,6,5",Intro,,,,,,,,,
690,Stubborn Love,The Lumineers,"1,4,6,5",Verse and Pre-Chorus,Stubborn Love,The Lumineers,436708,2962736,"folk, indie, acoustic, folk rock, indie folk",Stubborn Love,The Lumineers,67.0,2012-04-03
691,Stubborn Love,The Lumineers,"1,4,6,5",Intro,Stubborn Love,The Lumineers,436708,2962736,"folk, indie, acoustic, folk rock, indie folk",Stubborn Love,The Lumineers,67.0,2012-04-03
692,Carrot For A Cock,Yogscast,"1,4,6,5",Bridge,Carrot For A Cock,YOGSCast,2,2,,,,,
693,Something New ,Axwell and Ingrosso,"1,4,6,5",Chorus,,,,,,,,,
694,Santa Tell Me,Ariana Grande,"1,4,6,5",Chorus,Santa Tell Me,Ariana Grande,193568,1043084,"christmas, pop, love at first listen, hino, Ariana Grande",Santa Tell Me,Ariana Grande,72.0,2014-11-24
695,Ugly Heart,GRL,"1,4,6,5",Verse,Ugly Heart,G.R.L.,116379,816100,"pop, dance, female vocalists, 2014 single, feel good",Ugly Heart,G.R.L.,68.0,2014-07-29
696,Bad Girls Club,Falling In Reverse,"1,4,6,5",Intro,Bad Girls Club,Falling in Reverse,23906,171681,"post-hardcore, metalcore, pop punk, post hardcore, electropop",,,,
697,Concerning Hobbits,Howard Shore,"1,4,6,5",Intro,Concerning Hobbits,Howard Shore,259192,1474560,"Soundtrack, instrumental, lord of the rings, Classical, celtic",Concerning Hobbits,Howard Shore,66.0,2001-11-19
698,FourFiveSeconds,Rihanna And Kanye West And Paul McCartney,"1,4,6,5",Verse,FourFiveSeconds,Rihanna and Kanye West and Paul McCartney,9103,45660,"Rihanna, catchy as hell, Kanye West, paul mccartney, Pop Life",,,,
699,FourFiveSeconds,Rihanna And Kanye West And Paul McCartney,"1,4,6,5",Chorus,FourFiveSeconds,Rihanna and Kanye West and Paul McCartney,9103,45660,"Rihanna, catchy as hell, Kanye West, paul mccartney, Pop Life",,,,
700,Live Like You Were Dying,Tim McGraw,"1,4,6,5",Chorus,Live Like You Were Dying,Tim McGraw,101183,443915,"country, Tim McGraw, modern country, american, male vocalists",,,,
701,Livin' On The Run,Scott Grimes,"1,4,6,5",Chorus Lead-Out,Livin' On The Run,Scott Grimes,538,4810,"rock, pesen 1",Livin' On The Run,Scott Grimes,19.0,2005-02-25
702,One Last Time,Ariana Grande,"1,4,6,5",Chorus,One Last Time,Ariana Grande,334044,3672450,"pop, 2014, sad, female vocalists, heartbreak",One Last Time,Ariana Grande,82.0,2014-08-25
703,Hey Defriender,Jonathan Mann,"1,4,6,5",Verse,Hey Defriender,Jonathan Mann,1,12,,,,,
704,Shut Up and Dance,Walk The Moon,"1,4,6,5",Chorus,Shut Up and Dance,Walk the Moon,421219,3497651,"indie pop, pop, rock, dance, american",,,,
705,House Of Gold,Twenty One Pilots,"1,4,6,5",Chorus,House of Gold,Twenty One Pilots,151935,1215950,"alternative, folk, indie pop, electronic, indie",House of Gold,Twenty One Pilots,73.0,2013-01-08
706,Petroleum,Kent,"1,4,6,5",Intro,Petroleum,Kent,29185,234876,"rock, indie, alternative, alternative rock, swedish",,,,
707,I Bet My Life,Imagine Dragons,"1,4,6,5",Verse,I Bet My Life,Imagine Dragons,229777,1444801,"alternative, rock, pop, upbeat, indie rock",I Bet My Life,Imagine Dragons,64.0,2014-09-18
708,Dadsong,Old Spice,"1,4,6,5",Chorus,,,,,,,,,
709,Wavin' Flag,K'naan,"1,4,6,5",Chorus,Wavin' Flag,K'naan,175458,1086876,"reggae, Uplifting, african, melodic, Hip-Hop",,,,
710,Peace of Mind,Boston,"1,4,6,5",Bridge,Peace Of Mind,Boston,358097,1607383,"classic rock, rock, 70s, boston, hard rock",,,,
711,Lost For Words,Pink Floyd,"1,4,6,5",Verse,Lost for Words,Pink Floyd,206802,1358847,"Progressive rock, rock, Psychedelic Rock, classic rock, Pink Floyd",Lost for Words,Pink Floyd,57.0,1994
712,Bossman,Lucky Boys Confusion,"1,4,6,5",Chorus,Bossman,Lucky Boys Confusion,8320,52707,"USA, ska, poppy, 2000s, party song",Bossman,Lucky Boys Confusion,26.0,2001-05-08
713,Walt Grace's Submarine Test,John Mayer,"1,4,6,5",Chorus,Walt Grace's Submarine Test,John Mayer,36,134,,,,,
714,Brave,Sara Bareilles,"1,4,6,5",Chorus,Brave,Sara Bareilles,203667,1491360,"pop, female vocalists, singer-songwriter, inspirational, inspiring",Brave,Sara Bareilles,72.0,2013-07-16
715,Stitches,Shawn Mendes,"1,4,6,5",Verse and Pre-Chorus,Stitches,Shawn Mendes,294796,2625720,"pop, Canadian, acoustic, guitar, r&b",Stitches,Shawn Mendes,76.0,2015-04-14
716,superpop 138 AMAJ (whereUnow),Jack U,"1,4,6,5",Intro,,,,,,,,,
717,Alive,Sia,"1,4,6,5",Chorus,Alive,Sia,177830,1452193,"pop, female, amazing, Ballad, boring",Alive,Sia,66.0,2016-10-21
718,Call Your Girlfriend,Robyn,"1,4,6,5",Bridge,Call Your Girlfriend,Robyn,235990,2162717,"pop, electronic, swedish, dance, female vocalists",Call Your Girlfriend,Robyn,56.0,2010-01-01
719,Lost And Found,Ellie Goulding,"1,4,6,5",Chorus,losT AND founD,Ellie Goulding,49407,328895,"love at first listen, lost and found, electropop, female, pop",,,,
720,Fidelity,Regina Spektor,"1,4,6,5",Chorus,Fidelity,Regina Spektor,776545,5839580,"female vocalists, indie, singer-songwriter, piano, alternative",Fidelity,Regina Spektor,55.0,2006-06-13
721,Hadouken,Zeds Dead,"1,4,6,5",Bridge,Hadouken,Zeds Dead,13685,54360,"this song rickrolled my heart, helplessly dancing along",Hadouken,Zeds Dead,41.0,2014-07-01
722,That's How You Know,Nico and Vinz,"1,4,6,5",Verse,,,,,,,,,
723,Stone Cold,Demi Lovato,"1,4,6,5",Verse and Pre-Chorus,Stone Cold,Demi Lovato,108476,976453,"pop, sad, <3, soul, Power ballad",Stone Cold,Demi Lovato,80.0,2015-01-01
724,1985,Bowling For Soup,"1,4,6,5",Intro,1985,Bowling for Soup,439362,2149654,"rock, punk rock, pop punk, punk, alternative",,,,
725,That Green Gentleman,Panic At The Disco,"1,4,6,5",Intro and Verse,That Green Gentleman,Panic! at the Disco,26270,212540,"rock, alternative, alternative rock, Love it, ehhh",,,,
726,Whataya Want from Me,Adam Lambert,"1,4,6,5",Verse,Whataya Want from Me,Adam Lambert,343320,3293343,"pop, rock, Adam lambert, American Idol, american",Whataya Want from Me,Adam Lambert,67.0,2009-11-20
727,Call Your Girlfriend,Robyn,"1,4,6,5",Verse,Call Your Girlfriend,Robyn,235990,2162717,"pop, electronic, swedish, dance, female vocalists",Call Your Girlfriend,Robyn,56.0,2010-01-01
728,Alone - Au5 and Fractal remix,Singularity,"1,4,6,5",Intro,,,,,,,,,
729,I Love You,Woodkid,"1,4,6,5",Verse,I Love You,Woodkid,203606,1787152,"indie, alternative, epic, pop, fip",,,,
730,Follow Me,Hardwell,"1,4,6,5",Intro and Verse,Follow Me,Hardwell,22833,83137,"dance, electronic, pop, 2015, Jason Derulo",,,,
731,Love Like Ghosts,Lord Huron,"1,4,6,5",Verse,Love Like Ghosts,Lord Huron,40481,201779,"pop, ghost",Love Like Ghosts,Lord Huron,58.0,2015-04-07
732,Meet Me In The Woods,Lord Huron,"1,4,6,5",Verse,Meet Me in the Woods,Lord Huron,50689,285386,americana,Meet Me in the Woods,Lord Huron,61.0,2015-04-07
733,Pumpin Blood,NONONO,"1,4,6,5",Chorus,Pumpin Blood,NONONO,206026,1131808,"swedish, indie pop, electropop, indie, pop",Pumpin Blood,NONONO,57.0,2014
734,Rosalina In The Observatory,Koji Kondo,"1,4,6,5",Bridge,Rosalina in the Observatory,近藤浩治,5,39,,,,,
735,Stitches,Shawn Mendes,"1,4,6,5",Chorus,Stitches,Shawn Mendes,294796,2625720,"pop, Canadian, acoustic, guitar, r&b",Stitches,Shawn Mendes,76.0,2015-04-14
736,Longing for Lullabies ft Titiyo,Kleerup,"1,4,6,5",Chorus,Longing For Lullabies ft Titiyo,Kleerup,8,112,,,,,
737,Headache,Tiny Moving Parts,"1,4,6,5",Verse,Headache,Tiny Moving Parts,12242,81948,,Headache,Tiny Moving Parts,35.0,2016-05-20
738,True Colors,Marina and the Diamonds,"1,4,6,5",Verse and Pre-Chorus,True Colors,Marina and The Diamonds,2,5,true colours,,,,
739,Sweatshirt,Jacob Sartorius,"1,4,6,5",Verse,Sweatshirt,Jacob Sartorius,6924,20414,"Brutal Death Metal, Flatulence, edgy, queer, queercore",Sweatshirt,Jacob Sartorius,53.0,2016-05-03
740,Top Of The World,Greek Fire,"1,4,6,5",Verse and Pre-Chorus,Top of the World,Greek Fire,5731,40634,"rock, 3 stars, best songs of 2014, 3 and a half stars, bighero6 trailer theme song",Top of the World,Greek Fire,48.0,2013-12-02
741,Summertime,The Mowgli's,"1,4,6,5",Chorus,Summertime,The Mowgli's,20659,62998,,,,,
742,Strong Enough,Sheryl Crow,"1,4,6,5",Chorus,Strong Enough,Sheryl Crow,197614,734876,"female vocalists, rock, 90s, Sheryl Crow, pop",Strong Enough,Sheryl Crow,62.0,1993-08-03
743,Even If She Falls,Blink-182,"1,4,6,5",Verse,Even If She Falls,blink-182,88910,688406,"pop punk, alternative rock, punk rock, rock, pop",Even If She Falls,blink-182,45.0,2011-01-01
744,Someone Like You,Adele,"6,4,1,5",Chorus,Someone Like You,Adele,1023170,10247611,"Adele, soul, piano, british, female vocals",Someone Like You,Adele,80.0,2011-01-19
745,Girlfriend,Avril Lavigne,"6,4,1,5",Chorus,Girlfriend,Avril Lavigne,562835,3831946,"pop, rock, pop rock, avril lavigne, female vocalists",Girlfriend,Avril Lavigne,74.0,2007-04-17
746,Grenade,Bruno Mars,"6,4,1,5",Chorus,Grenade,Bruno Mars,567360,4823929,"pop, Bruno Mars, rnb, male vocalists, Grenade",Grenade,Bruno Mars,76.0,2010-10-05
747,Call Me Maybe,Carly Rae Jepsen,"6,4,1,5",Chorus,Call Me Maybe,Carly Rae Jepsen,799026,7617798,"pop, dance, female vocalists, Canadian, Carly Rae Jepsen",Call Me Maybe,Carly Rae Jepsen,69.0,2012-01-01
748,So Small,Carrie Underwood,"6,4,1,5",Chorus,So Small,Carrie Underwood,102824,554679,"country, female vocalists, Carrie Underwood, pop, so small",So Small,Carrie Underwood,51.0,2007-10-22
749,So Small,Carrie Underwood,"6,4,1,5",Verse,So Small,Carrie Underwood,102824,554679,"country, female vocalists, Carrie Underwood, pop, so small",So Small,Carrie Underwood,51.0,2007-10-22
750,Every Time We Touch,Cascada,"6,4,1,5",Chorus,Everytime We Touch,Cascada,312647,1987392,"dance, pop, techno, trance, electronic",Everytime We Touch,Cascada,68.0,2006-02-21
751,Every Time We Touch,Cascada,"6,4,1,5",Verse,Everytime We Touch,Cascada,312647,1987392,"dance, pop, techno, trance, electronic",Everytime We Touch,Cascada,68.0,2006-02-21
752,Parachute,Cheryl Cole,"6,4,1,5",Chorus,Parachute,Cheryl Cole,217925,1688955,"pop, cheryl cole, british, female vocalists, rnb",,,,
753,Parachute,Cheryl Cole,"6,4,1,5",Verse,Parachute,Cheryl Cole,217925,1688955,"pop, cheryl cole, british, female vocalists, rnb",,,,
754,Skyscraper,Demi Lovato,"6,4,1,5",Intro,Skyscraper,Demi Lovato,227809,2285364,"pop, Ballad, Demi Lovato, female vocalists, inspirational",Skyscraper,Demi Lovato,68.0,2011-01-01
755,Whistle,Flo Rida,"6,4,1,5",Instrumental,Whistle,Flo Rida,389492,2679289,"Hip-Hop, Flo Rida, pop, 2012, dance",Whistle,Flo Rida,76.0,2012-06-22
756,I'm Yours,Jason Mraz,"6,4,1,5",Verse,I'm Yours,Jason Mraz,1309515,10558138,"acoustic, happy, singer-songwriter, Love, chill",I'm Yours,Jason Mraz,85.0,2008-05-12
757,Already Gone,Kelly Clarkson,"6,4,1,5",Verse,Already Gone,Kelly Clarkson,261003,1797042,"pop, female vocalists, Kelly Clarkson, Ballad, american",Already Gone,Kelly Clarkson,59.0,2009-03-05
758,The Edge Of Glory,Lady Gaga,"6,4,1,5",Chorus,The Edge of Glory,Lady Gaga,415646,5123405,"pop, Lady Gaga, dance, epic, saxophone",,,,
759,Never gonna leave this bed,Maroon 5,"6,4,1,5",Chorus,Never Gonna Leave This Bed,Maroon 5,210347,1532853,"pop, rock, male vocalists, maroon 5, love at first listen",Never Gonna Leave This Bed,Maroon 5,58.0,2010
760,She Will Be Loved,Maroon 5,"6,4,1,5",Chorus,She Will Be Loved,Maroon 5,1140818,7178272,"pop, maroon 5, rock, alternative, pop rock",She Will Be Loved,Maroon 5,75.0,2002-06-25
761,Real World,Matchbox 20,"6,4,1,5",Verse,Real World,Matchbox Twenty,272860,1179133,"rock, 90s, alternative rock, matchbox twenty, alternative",Real World,Matchbox Twenty,62.0,1996-10-01
762,Please Play This Song On The Radio,NOFX,"6,4,1,5",Chorus,Please Play This Song on the Radio,NOFX,57041,251257,"punk rock, punk, funny, skate punk, hardcore punk",,,,
763,Little Talks,Of Monsters And Men,"6,4,1,5",Chorus,Little Talks,Of Monsters and Men,911035,8899292,"indie, folk, alternative, indie folk, icelandic",Little Talks,Of Monsters and Men,77.0,2012-01-01
764,21 Guns,Green Day,"6,4,1,5",Intro,21 Guns,Green Day,621695,5049513,"punk rock, rock, alternative rock, green day, punk",21 Guns,Green Day,77.0,2009-05-15
765,21 Guns,Green Day,"6,4,1,5",Verse,21 Guns,Green Day,621695,5049513,"punk rock, rock, alternative rock, green day, punk",21 Guns,Green Day,77.0,2009-05-15
766,Boulevard of Broken Dreams,Green Day,"6,4,1,5",Chorus,Boulevard of Broken Dreams,Green Day,1135777,7855414,"rock, punk rock, green day, punk, alternative",Boulevard of Broken Dreams,Green Day,75.0,2017-11-17
767,Holiday,Green Day,"6,4,1,5",Chorus,Holiday,Green Day,831142,5654049,"punk rock, rock, punk, green day, alternative",Holiday,Green Day,68.0,2017-11-17
768,Holiday,Green Day,"6,4,1,5",Verse,Holiday,Green Day,831142,5654049,"punk rock, rock, punk, green day, alternative",Holiday,Green Day,68.0,2017-11-17
769,Numb,Linkin Park,"6,4,1,5",Chorus,Numb,Linkin Park,1305961,11406088,"rock, Nu Metal, Linkin Park, alternative rock, alternative",Numb,Linkin Park,83.0,2003-03-24
770,Numb,Linkin Park,"6,4,1,5",Intro,Numb,Linkin Park,1305961,11406088,"rock, Nu Metal, Linkin Park, alternative rock, alternative",Numb,Linkin Park,83.0,2003-03-24
771,Ai Se Eu Te Pego,Michel Telo,"6,4,1,5",Chorus,Ai se eu te pego,Michel Teló,156264,1236381,"latin, pop, catchy, 2011, Michel Telo",,,,
772,2012 'If The World Would End',Mike Candys,"6,4,1,5",Intro,,,,,,,,,
773,2012 'If The World Would End',Mike Candys,"6,4,1,5",Pre-Chorus and Chorus,,,,,,,,,
774,Snow -Hey Oh-,Red Hot Chili Peppers,"6,4,1,5",Chorus,Snow -Hey Oh-,Red Hot Chili Peppers,32,306,,,,,
775,Confusion and Frustration in Modern Times,Sum 41,"6,4,1,5",Chorus,Confusion and Frustration in Modern Times,Sum 41,102935,596995,"punk rock, punk, rock, pop punk, sum 41",,,,
776,Confusion and Frustration in Modern Times,Sum 41,"6,4,1,5",Intro,Confusion and Frustration in Modern Times,Sum 41,102935,596995,"punk rock, punk, rock, pop punk, sum 41",,,,
777,Confusion and Frustration in Modern Times,Sum 41,"6,4,1,5",Intro and Verse,Confusion and Frustration in Modern Times,Sum 41,102935,596995,"punk rock, punk, rock, pop punk, sum 41",,,,
778,Confusion and Frustration in Modern Times,Sum 41,"6,4,1,5",Verse and Pre-Chorus,Confusion and Frustration in Modern Times,Sum 41,102935,596995,"punk rock, punk, rock, pop punk, sum 41",,,,
779,Walking Disaster,Sum 41,"6,4,1,5",Chorus,Walking Disaster,Sum 41,246939,1601575,"punk rock, pop punk, punk, sum 41, rock",Walking Disaster,Sum 41,57.0,2007-01-01
780,The Internet Is For Porn,Jeff Marx and Robert Lopez,"6,4,1,5",Verse and Pre-Chorus,The Internet Is For Porn,Jeff Marx and Robert Lopez,32,271,,,,,
781,Lookin' Out My Back Door,Creedence Clearwater Revival,"6,4,1,5",Verse,Lookin' Out My Back Door,Creedence Clearwater Revival,481718,2354974,"classic rock, rock, Southern Rock, 60s, oldies",Lookin' Out My Back Door,Creedence Clearwater Revival,68.0,1970-07-25
782,Paparazzi,Lady Gaga,"6,4,1,5",Chorus,Paparazzi,Lady Gaga,1089827,9655158,"pop, Lady Gaga, dance, female vocalists, Paparazzi",Paparazzi,Lady Gaga,65.0,2008-01-01
783,Castle Of Glass,Linkin Park,"6,4,1,5",Chorus,Castle of Glass,Linkin Park,287723,2698539,"alternative rock, rock, alternative, electronic rock, Linkin Park",,,,
784,River flows in you,Yiruma,"6,4,1,5",Intro and Verse,River Flows in You,Yiruma,250739,2474383,"piano, instrumental, Classical, twilight, yiruma",River Flows in You,Yiruma,60.0,2011-12-09
785,Listen To Your Heart,Roxette,"6,4,1,5",Chorus,Listen to Your Heart,Roxette,363831,1894050,"80s, pop, Roxette, rock, female vocalists",Listen to Your Heart,Roxette,75.0,1988-10-19
786,Alejandro,Lady Gaga,"6,4,1,5",Chorus,Alejandro,Lady Gaga,856328,9441385,"pop, Lady Gaga, dance, electronic, female vocalists",Alejandro,Lady Gaga,62.0,2009-08-05
787,Africa,Toto,"6,4,1,5",Chorus,Africa,Toto,973310,6714480,"80s, classic rock, rock, pop, soft rock",,,,
788,Life,The Avett Brothers,"6,4,1,5",Verse,Life,The Avett Brothers,30196,120541,"folk, singer-songwriter, acoustic, USA, american",,,,
789,Sub Focus,Tidal Wave,"6,4,1,5",Instrumental,Sub Focus,Tidal Wave,6,8,,,,,
790,Stay Stay Stay,Taylor Swift,"6,4,1,5",Bridge,Stay Stay Stay,Taylor Swift,130666,1138144,"country, taylor swift, pop, female vocalists, country pop",Stay Stay Stay,Taylor Swift,56.0,2012-10-22
791,Stereo Love,Edward Maya,"6,4,1,5",Instrumental,Stereo Love,Edward Maya,95900,761858,"dance, House, club, electronic, summer 2010",,,,
792,Breakfast At Tiffany's,Deep Blue Something,"6,4,1,5",Chorus,Breakfast at Tiffany's,Deep Blue Something,445780,2243182,"90s, pop, rock, one hit wonder, alternative",Breakfast at Tiffany's,Deep Blue Something,41.0,1993
793,Seasons,Rome,"6,4,1,5",Chorus,Seasons,Rome,1063,6248,"Awesome, heartbreak, mexican, pegajosa",,,,
794,Living in Stereo,RIO,"6,4,1,5",Chorus,Living In Stereo,Rio,36,180,,,,,
795,Living in Stereo,RIO,"6,4,1,5",Pre-Chorus,Living In Stereo,Rio,36,180,,,,,
796,Born to make you happy,Britney Spears,"6,4,1,5",Intro,Born to Make You Happy,Britney Spears,212224,1463558,"pop, Britney Spears, female vocalists, 90s, Love",Born to Make You Happy,Britney Spears,58.0,1999-01-12
797,Born to make you happy,Britney Spears,"6,4,1,5",Chorus,Born to Make You Happy,Britney Spears,212224,1463558,"pop, Britney Spears, female vocalists, 90s, Love",Born to Make You Happy,Britney Spears,58.0,1999-01-12
798,Four Chord Songs,Axis of Awesome,"6,4,1,5",Chorus,Four Chord Songs,The Axis of Awesome,9,66,,,,,
799,Take A Walk,Passion Pit,"6,4,1,5",Chorus,Take a Walk,Passion Pit,553471,3726102,"indie, indie pop, summer, pop, electronic",Take a Walk,Passion Pit,69.0,2012-07-20
800,Let Her Go,Passenger,"6,4,1,5",Chorus,Let Her Go,Passenger,706276,6643752,"folk, acoustic, british, let her go, 2012",,,,
801,The General,Dispatch,"6,4,1,5",Verse,The General,Dispatch,262663,1306276,"acoustic, indie, chill, Mellow, rock",The General,Dispatch,63.0,1997-09-01
802,Awesome,Charles Jenkins,"6,4,1,5",Verse,Awesome,Charles Jenkins,34,409,,,,,
803,Awesome,Charles Jenkins,"6,4,1,5",Verse and Pre-Chorus,Awesome,Charles Jenkins,34,409,,,,,
804,Illumielle,Jo Blankenburg,"6,4,1,5",Intro,Illumielle,Jo Blankenburg,7264,28694,,Illumielle,Jo Blankenburg,39.0,2012-07-31
805,What's My Age Again,Blink 182,"6,4,1,5",Verse,What's My Age Again,blink-182,178104,1242549,"punk rock, punk, rock, pop punk, alternative",,,,
806,What's My Age Again,Blink 182,"6,4,1,5",Chorus,What's My Age Again,blink-182,178104,1242549,"punk rock, punk, rock, pop punk, alternative",,,,
807,Otherside,Red Hot Chili Peppers,"6,4,1,5",Intro,Otherside,Red Hot Chili Peppers,1392633,10865331,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk",Otherside,Red Hot Chili Peppers,80.0,1999-06-08
808,Otherside,Red Hot Chili Peppers,"6,4,1,5",Chorus,Otherside,Red Hot Chili Peppers,1392633,10865331,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk",Otherside,Red Hot Chili Peppers,80.0,1999-06-08
809,Otherside,Red Hot Chili Peppers,"6,4,1,5",Bridge,Otherside,Red Hot Chili Peppers,1392633,10865331,"rock, alternative rock, alternative, Red Hot Chili Peppers, funk",Otherside,Red Hot Chili Peppers,80.0,1999-06-08
810,Home,Phillip Phillips,"6,4,1,5",Chorus,Home,Phillip Phillips,266875,1737817,"folk, country, indie folk, acoustic, 10s",Home,Phillip Phillips,68.0,2013-01-01
811,This Is What It Feels Like,Armin van Buuren,"6,4,1,5",Verse,This Is What It Feels Like,Armin van Buuren,214387,1377141,"trance, dance, House, electronic, Armin van Buuren",This Is What It Feels Like,Armin van Buuren,67.0,2013-05-03
812,This Is What It Feels Like,Armin van Buuren,"6,4,1,5",Pre-Chorus,This Is What It Feels Like,Armin van Buuren,214387,1377141,"trance, dance, House, electronic, Armin van Buuren",This Is What It Feels Like,Armin van Buuren,67.0,2013-05-03
813,This Is What It Feels Like,Armin van Buuren,"6,4,1,5",Chorus,This Is What It Feels Like,Armin van Buuren,214387,1377141,"trance, dance, House, electronic, Armin van Buuren",This Is What It Feels Like,Armin van Buuren,67.0,2013-05-03
814,Heart Attack,Demi Lovato,"6,4,1,5",Verse,Heart Attack,Demi Lovato,268097,2909682,"pop, Demi Lovato, Heart attack, dance, demi",Heart Attack,Demi Lovato,76.0,2013-01-01
815,My Songs Know What You Did In The Dark,Fall Out Boy,"6,4,1,5",Pre-Chorus and Chorus,My Songs Know What You Did in the Dark (Light Em Up),Fall Out Boy,378490,3650235,"rock, alternative, alternative rock, pop rock, Fall Out Boy",,,,
816,Mizuiro Girlfriend,Plastic Tree,"6,4,1,5",Verse and Pre-Chorus,Mizuiro Girlfriend,Plastic Tree,1878,15522,"absolute love, alternative rock, nostalgic, J-rock, dreaming",,,,
817,Awesome,Charles Jenkins,"6,4,1,5",Intro,Awesome,Charles Jenkins,34,409,,,,,
818,Get Your Shine On,Florida Georgia Line,"6,4,1,5",Chorus,Get Your Shine On,Florida Georgia Line,67931,357356,"country, country cool, Driving, pop country, twang",Get Your Shine On,Florida Georgia Line,64.0,2012-01-01
819,Dragostea Din Tei,O Zone,"6,4,1,5",Intro,Dragostea Din Tei,O-Zone,242409,1209762,"dance, pop, eurodance, Romanian, Europop",,,,
820,Dragostea Din Tei,O Zone,"6,4,1,5",Verse and Pre-Chorus,Dragostea Din Tei,O-Zone,242409,1209762,"dance, pop, eurodance, Romanian, Europop",,,,
821,Dragostea Din Tei,O Zone,"6,4,1,5",Chorus Lead-Out,Dragostea Din Tei,O-Zone,242409,1209762,"dance, pop, eurodance, Romanian, Europop",,,,
822,All I Ever Wanted,Basshunter,"6,4,1,5",Verse,All I Ever Wanted,Basshunter,140262,1049095,"dance, eurodance, techno, trance, club",,,,
823,Stamp on the Ground,ItaloBrothers,"6,4,1,5",Pre-Chorus,Stamp On The Ground,Italobrothers,38916,310137,"dance, hands up, jumpstyle, electronic, eurodance",,,,
824,Stamp on the Ground,ItaloBrothers,"6,4,1,5",Instrumental,Stamp On The Ground,Italobrothers,38916,310137,"dance, hands up, jumpstyle, electronic, eurodance",,,,
825,He's a Pirate,Klaus Badelt,"6,4,1,5",Verse,He's a Pirate,Klaus Badelt,216700,1431415,"Soundtrack, instrumental, Pirates of the Caribbean, epic, pirate",He's a Pirate,Klaus Badelt,61.0,2003-07-22
826,Hide And Seek,Imogen Heap,"6,4,1,5",Verse,Hide And Seek,Imogen Heap,720631,6105823,"female vocalists, indie, electronic, chillout, electronica",,,,
827,Hide And Seek,Imogen Heap,"6,4,1,5",Pre-Chorus,Hide And Seek,Imogen Heap,720631,6105823,"female vocalists, indie, electronic, chillout, electronica",,,,
828,Replay,Iyaz,"6,4,1,5",Chorus,Replay,Iyaz,585549,2833547,"iyaz, pop, replAy, catchy, Hip-Hop",Replay,Iyaz,74.0,2009-08-11
829,Tell Me What You Like,Jessica Folker,"6,4,1,5",Chorus,Tell Me What You Like,Jessica Folker,3709,15781,"90s, Favourites, swedish, sexy, Faves",,,,
