,artist,cp,section,song,type
18738,Blink-182,"5,4,5",Chorus,She's Out Of Her Mind,3 chord
18739,Black Eyed Peas,"5,4,6",Chorus,Just Can't Get Enough,3 chord
18740,Bloodhound Gang,"5,4,6",Intro and Verse,The Bad Touch,3 chord
18741,Britney Spears,"5,4,6",Verse,Out From Under,3 chord
18742,Cascada,"5,4,6",Verse,Every Time We Touch,3 chord
18743,Colbie Caillat,"5,4,6",Pre-Chorus,Realize,3 chord
18744,Dire Straits,"5,4,6",Chorus,Sultans of Swing,3 chord
18745,Drake,"5,4,6",Verse,Take Care,3 chord
18746,Erasure,"5,4,6",Chorus,Always,3 chord
18747,Fleetwood Mac,"5,4,6",Verse,The Chain,3 chord
18748,Frog Fractions Soundtrack,"5,4,6",Verse,Rimushotto Bungie Jump,3 chord
18749,Kelly Clarkson,"5,4,6",Pre-Chorus,Breakaway,3 chord
18750,Led Zeppelin,"5,4,6",Solo,Stairway to Heaven,3 chord
18751,Leona Lewis,"5,4,6",Verse,I See You - Avatar,3 chord
18752,Metallica,"5,4,6",Verse,Nothing Else Matters,3 chord
18753,Nelly,"5,4,6",Chorus,Ride With Me,3 chord
18754,Pink,"5,4,6",Chorus,Raise Your Glass,3 chord
18755,Rihanna,"5,4,6",Chorus,Disturbia,3 chord
18756,Rihanna,"5,4,6",Pre-Chorus,Disturbia,3 chord
18757,Usher,"5,4,6",Chorus,DJ's Got Us Falling In Love Again,3 chord
18758,Avicii,"5,4,6",Intro,Levels,3 chord
18759,Muse,"5,4,6",Verse,Madness,3 chord
18760,Nicki Minaj,"5,4,6",Chorus,Starships,3 chord
18761,LMFAO,"5,4,6",Intro,Champagne Showers,3 chord
18762,Nicki Minaj,"5,4,6",Pre-Chorus,Starships,3 chord
18763,Carly Rae Jepsen,"5,4,6",Intro,This Kiss,3 chord
18764,Taylor Swift,"5,4,6",Chorus,Red,3 chord
18765,Taylor Swift,"5,4,6",Verse,Red,3 chord
18766,Kim Carnes,"5,4,6",Intro,Bette Davis Eyes,3 chord
18767,Taylor Swift,"5,4,6",Chorus,22,3 chord
18768,Jonas Brothers,"5,4,6",Verse,Burnin up,3 chord
18769,Jonas Brothers,"5,4,6",Chorus,Burnin up,3 chord
18770,Pink,"5,4,6",Verse,Raise Your Glass,3 chord
18771,Pink,"5,4,6",Pre-Chorus,Raise Your Glass,3 chord
18772,James Morrison ft Nelly Furtado,"5,4,6",Chorus,Broken Strings,3 chord
18773,The Cars,"5,4,6",Chorus,Just What I Needed,3 chord
18774,REO Speedwagon,"5,4,6",Pre-Chorus,Roll With The Changes,3 chord
18775,Drake ft Rihanna,"5,4,6",Intro,Take Care,3 chord
18776,Gershon Kingsley,"5,4,6",Chorus,Popcorn,3 chord
18777,Skrillex,"5,4,6",Verse and Pre-Chorus,Cinema Remix,3 chord
18778,Kelly Clarkson,"5,4,6",Verse and Pre-Chorus,Behind These Hazel Eyes,3 chord
18779,JayKay - Lil Wayne - Rick Ross - Mack 10 ,"5,4,6",Pre-Chorus and Chorus,Party Encore,3 chord
18780,Queen,"5,4,6",Pre-Chorus and Chorus,I Want To Break Free,3 chord
18781,Jason Derulo,"5,4,6",Chorus,The Other Side,3 chord
18782,Tegan and Sara,"5,4,6",Pre-Chorus,I Was A Fool,3 chord
18783,The Lumineers,"5,4,6",Bridge,Ho Hey,3 chord
18784,The Begging Sea,"5,4,6",Chorus,All We've Got,3 chord
18785,Nadia Ali,"5,4,6",Chorus,Rapture - Avicii Remix,3 chord
18786,Carolina Liar,"5,4,6",Chorus,Show Me What I'm Looking For,3 chord
18787,Steve Aoki ft Polina,"5,4,6",Chorus,Come With Me,3 chord
18788,They Might Be Giants,"5,4,6",Verse and Pre-Chorus,Sensurround,3 chord
18789,Lou Reed,"5,4,6",Verse and Pre-Chorus,Perfect Day,3 chord
18790,Kurt Vile,"5,4,6",Chorus,KV Crimes,3 chord
18791,Citizens,"5,4,6",Intro,In Tenderness,3 chord
18792,Tom Petty And the Heartbreakers,"5,4,6",Verse, I Won't Back Down,3 chord
18793,Theory of a Deadman,"5,4,6",Verse,Not Meant to Be,3 chord
18794,Pitbull,"5,4,6",Chorus Lead-Out,Timber feat Kesha,3 chord
18795,Jon Foreman,"5,4,6",Bridge,The House of God Forever,3 chord
18796,Sportfreunde Stiller,"5,4,6",Chorus,Applaus Applaus,3 chord
18797,Rockwell,"5,4,6",Intro,Somebody's Watching Me,3 chord
18798,OneRepublic,"5,4,6",Verse and Pre-Chorus,Counting Stars,3 chord
18799,OneRepublic,"5,4,6",Chorus,Counting Stars,3 chord
18800,Dragonforce,"5,4,6",Chorus,Through the Fire and Flames,3 chord
18801,Helloween,"5,4,6",Chorus,Don't stop being crazy,3 chord
18802,Knife Party,"5,4,6",Bridge,Rage Valley,3 chord
18803,Lana Del Rey,"5,4,6",Intro,National Anthem,3 chord
18804,Lana Del Rey,"5,4,6",Chorus,National Anthem,3 chord
18805,Krewella,"5,4,6",Pre-Chorus,Enjoy the Ride,3 chord
18806,Krewella,"5,4,6",Chorus,Enjoy the Ride,3 chord
18807,Eminem feat Rihanna,"5,4,6",Intro,The Monster,3 chord
18808,Blind Guardian,"5,4,6",Chorus,Harvest of Sorrow,3 chord
18809,Jimi Hendrix,"5,4,6",Verse,Castles Made of Sand,3 chord
18810,David Tavare,"5,4,6",Verse,Summer Love,3 chord
18811,Orjan Nilsen,"5,4,6",Verse,La Guitarra,3 chord
18812,Lana Del Rey,"5,4,6",Chorus,Diet Mtn Dew,3 chord
18813,UNiTE,"5,4,6",Verse and Pre-Chorus,Ai -'ation-,3 chord
18814,Robert Miles,"5,4,6",Instrumental,Fable,3 chord
18815,Taylor Swift,"5,4,6",Bridge,I Knew You Were Trouble,3 chord
18816,Enrique Iglesias,"5,4,6",Verse,Bailamos,3 chord
18817,Enrique Iglesias,"5,4,6",Chorus,Bailamos,3 chord
18818,Ivan Gough and Feenixpawl,"5,4,6",Chorus,In My Mind,3 chord
18819,Pitbull,"5,4,6",Chorus,Timber Ft Kesha,3 chord
18820,Pitbull feat Kesha,"5,4,6",Chorus,Timber,3 chord
18821,Two Steps From Hell,"5,4,6",Chorus,Birth of A Hero,3 chord
18822,Hank Green,"5,4,6",Verse,It All Makes Sense at the End,3 chord
18823,nanobii,"5,4,6",Chorus,astral blast,3 chord
18824,The Kooks,"5,4,6",Chorus,Naive,3 chord
18825,Foo Fighters,"5,4,6",Chorus,My Hero,3 chord
18826,Mat Zo and Arty,"5,4,6",Chorus,Mozart,3 chord
18827,Boards of Canada,"5,4,6",Chorus,Roygbiv,3 chord
18828,Kent,"5,4,6",Chorus,Duett,3 chord
18829,JoJo,"5,4,6",Intro and Verse,Too Little Too Late,3 chord
18830,Zedd ft Ryan Tedder,"5,4,6",Verse,Lost At Sea,3 chord
18831,Zedd ft Ryan Tedder,"5,4,6",Chorus,Lost At Sea,3 chord
18832,Lana Del Rey,"5,4,6",Verse,West Coast,3 chord
18833,Bonnie Mckee,"5,4,6",Chorus,American Girl,3 chord
18834,Lily Allen,"5,4,6",Pre-Chorus and Chorus,Hard Out Here,3 chord
18835,Nintendo,"5,4,6",Verse,Pokemon Red and Blue - Lavender Town,3 chord
18836,Ellie Goulding,"5,4,6",Verse and Pre-Chorus,You My Everything,3 chord
18837,Kelly Clarkson,"5,4,6",Pre-Chorus and Chorus,Breakaway,3 chord
18838,Sandra,"5,4,6",Verse and Pre-Chorus,Around My Heart,3 chord
18839,Chalk Zone,"5,4,6",Intro and Verse,The Amazin' River,3 chord
18840,Rihanna,"5,4,6",Pre-Chorus,Rehab,3 chord
18841,Adrian Lux,"5,4,6",Chorus,Weekend Heroes - Bauer and Lanford Remix,3 chord
18842,ZUN,"5,4,6",Intro and Verse,Septette for the Dead Princess,3 chord
18843,ZUN,"5,4,6",Verse,Septette for the Dead Princess,3 chord
18844,Soundprank,"5,4,6",Chorus,Animus,3 chord
18845,Eric Prydz,"5,4,6",Chorus,Call On Me,3 chord
18846,Nelly Furtado,"5,4,6",Chorus,All Good Things,3 chord
18847,Nelly Furtado,"5,4,6",Chorus Lead-Out,All Good Things,3 chord
18848,Nelly Furtado,"5,4,6",Verse,All Good Things,3 chord
18849,Shontelle,"5,4,6",Chorus,Impossible,3 chord
18850,Shontelle,"5,4,6",Verse,Impossible,3 chord
18851,Shontelle,"5,4,6",Pre-Chorus and Chorus,Impossible,3 chord
18852,Steve Winwood,"5,4,6",Chorus,Valerie,3 chord
18853,Double Take,"5,4,6",Chorus,Hot Problems,3 chord
18854,Natasha Bedingfield,"5,4,6",Chorus,Pocketful of Sunshine,3 chord
18855,John O'Callaghan ft Sarah Howells,"5,4,6",Verse and Pre-Chorus,Find Yourself,3 chord
18856,Mylene Farmer,"5,4,6",Pre-Chorus,Desechantee,3 chord
18857,Mylene Farmer,"5,4,6",Pre-Chorus,Desenchantee,3 chord
18858,Kaskade,"5,4,6",Chorus,Last Chance,3 chord
18859,Tom Petty And The Heartbreakers,"5,4,6",Verse,I Won't Back Down,3 chord
18860,Usher,"5,4,6",Intro,More - Jimmy Joker Remix,3 chord
18861,Florida Georgia Line,"5,4,6",Chorus,Dirt,3 chord
18862,KT Tunstall,"5,4,6",Chorus,Black Horse And A Cherry Tree,3 chord
18863,Ed Sheeran,"5,4,6",Verse,I See Fire,3 chord
18864,Skrillex,"5,4,6",Pre-Chorus,Breakn' A Sweat,3 chord
18865,Lisa Miskovsky,"5,4,6",Verse,Still Alive-Mirror's Edge OST,3 chord
18866,Panda Bear,"5,4,6",Chorus,Bros,3 chord
18867,Felix Cartal feat Ofelia,"5,4,6",Verse and Pre-Chorus,New Scene - Lucky Date Remix,3 chord
18868,Ladytron,"5,4,6",Chorus,Destroy Everything You Touch,3 chord
18869,All American Rejects,"5,4,6",Chorus,Gives You Hell,3 chord
18870,Avril Lavigne,"5,4,6",Chorus,When You're Gone,3 chord
18871,Quinton Barnes,"5,4,6",Verse,Running Back To You,3 chord
18872,Quinton Barnes,"5,4,6",Chorus,Running Back To You,3 chord
18873,Dung Truong,"5,4,6",Loop,Allusion World,3 chord
18874,Clear Vu,"5,4,6",Verse,Close To You - Re-Con Remix,3 chord
18875,The Killers,"5,4,6",Pre-Chorus,Mr Brightside,3 chord
18876,Arthur White,"5,4,6",Chorus,The Fade - Nolan Van Lith Remix,3 chord
18877,James Blunt,"5,4,6",Chorus,Bonfire Heart,3 chord
18878,Flo Rida,"5,4,6",Chorus,Club Can't Handle Me,3 chord
18879,Culture Club,"5,4,6",Verse and Pre-Chorus,Karma Chameleon,3 chord
18880,The Gaslight Anthem,"5,4,6",Intro and Verse,Rollin' And Tumblin',3 chord
18881,Wire,"5,4,6",Verse,Outdoor Miner,3 chord
18882,John Miller,"5,4,6",Chorus,Tornado,3 chord
18883,Motooi Sakuraba,"5,4,6",Instrumental,The Link,3 chord
18884,Quinton Barnes,"5,4,6",Verse,There's No You,3 chord
18885,Thrice,"5,4,6",Verse,Red Sky,3 chord
18886,Motoi Sakuraba,"5,4,6",Verse,The Imperial City,3 chord
18887,Firewall,"5,4,6",Chorus,Sincere - Pulser Mix,3 chord
18888,Milow,"5,4,6",Chorus,Ayo Technology,3 chord
18889,Mortal Kombat,"5,4,6",Intro,Techno Syndrome,3 chord
18890,Savant,"5,4,6",Chorus Lead-Out,Sledgehammer,3 chord
18891,Dustin Kensrue,"5,4,6",Chorus,It Is Finished,3 chord
18892,Headspace,"5,4,6",Chorus,The Big Day,3 chord
18893,Steven Wilson,"5,4,6",Chorus,Hand Cannot Erase,3 chord
18894,Christina Aguilera,"5,4,6",Intro,Genie in a Bottle,3 chord
18895,Jonathan Coulton,"5,4,6",Verse,Code Monkey,3 chord
18896,Donna Summer,"5,4,6",Intro,MacArthur Park,3 chord
18897,Donna Summer,"5,4,6",Verse,MacArthur Park,3 chord
18898,Taylor Swift,"5,4,6",Verse and Pre-Chorus,Mean,3 chord
18899,Yasunori Mitsuda,"5,4,6",Instrumental,Chrono Trigger - Frog's Theme,3 chord
18900,Peter Gabriel,"5,4,6",Verse,Here Comes The Flood,3 chord
18901,Ivan Gough and Feenixpawl,"5,4,6",Instrumental,In My Mind,3 chord
18902,Kate Bush,"5,4,6",Bridge,Wuthering Heights,3 chord
18903,Seinabo Sey,"5,4,6",Intro,Younger,3 chord
18904,Above and Beyond feat Alex Vargas,"5,4,6",Verse,All Over The World,3 chord
18905,Walk The Moon,"5,4,6",Intro and Verse,Shut Up and Dance,3 chord
18906,Walk The Moon,"5,4,6",Verse and Pre-Chorus,Shut Up and Dance,3 chord
18907,Working for a Nuclear Free City,"5,4,6",Verse,Je suis le vent,3 chord
18908,aylictal,"5,4,6",Instrumental,endeavor,3 chord
18909,Alesso,"5,4,6",Chorus,Sweet Escape,3 chord
18910,Krewella,"5,4,6",Instrumental,Live for the Night,3 chord
18911,Miley Cyrus,"5,4,6",Chorus,See You Again,3 chord
18912,Billy Talent,"5,4,6",Pre-Chorus and Chorus,The Ex,3 chord
18913,The Mighty Mighty Bosstones,"5,4,6",Chorus,Don't Worry Desmond Dekker,3 chord
18914,CRO,"5,4,6",Chorus,Traum,3 chord
18915,Bon Jovi,"5,4,6",Chorus,Always,3 chord
18916,Signalrunners,"5,4,6",Chorus,Meet Me In Montauk,3 chord
18917,The Weeknd,"5,4,6",Pre-Chorus and Chorus,Can't Feel My Face,3 chord
18918,blur,"5,4,6",Chorus,Coffee and TV,3 chord
18919,Boston,"5,4,6",Bridge,Peace of Mind,3 chord
18920,Rise Against,"5,4,6",Chorus,The Good Left Undone,3 chord
18921,Hudson Mohawke,"5,4,6",Chorus,Fuse,3 chord
18922,Gammer,"5,4,6",Intro,Nostalgia - Rustie Edit,3 chord
18923,Gummibar,"5,4,6",Chorus,The Gummy Bear Song,3 chord
18924,Cloud Nothings,"5,4,6",Chorus,Quieter Today,3 chord
18925,Fire When Ready,"5,4,6",Verse,We All Need Reminders,3 chord
18926,Cloud Nothings,"5,4,6",Pre-Chorus,I'm Not Part of Me,3 chord
18927,Bob Seger,"5,4,6",Chorus,Night Moves,3 chord
18928,Fitz and The Tantrums,"5,4,6",Chorus,Out Of My League,3 chord
18929,Four Year Strong,"5,4,6",Chorus,Go Down In History,3 chord
18930,Tori Kelly,"5,4,6",Chorus,Should've Been Us,3 chord
18931,Ricky Skaggs and Bruce Hornsby,"5,4,6",Chorus,Mandolin Rain,3 chord
18932,Avicii,"5,4,6",Solo,Talk To Myself,3 chord
18933,Blur,"5,4,6",Chorus,Advert,3 chord
18934,ATB,"5,4,6",Intro,Ecstasy,3 chord
18935,Taylor Swift,"5,4,6",Pre-Chorus,Wildest Dreams,3 chord
18936,Adele,"5,4,6",Intro and Verse,Hello,3 chord
18937,Kwabs,"5,4,6",Chorus,Walk,3 chord
18938,Taylor Swift,"5,4,6",Verse,Wildest Dreams,3 chord
18939,Jeremy Soule,"5,4,6",Intro,Morrowind Theme Song,3 chord
18940,SCORPIONS,"5,4,6",Verse,Rock You Like a Hurricane,3 chord
18941,Sigala,"5,4,6",Chorus,Sweet Lovin,3 chord
18942,TwoThirds,"5,4,6",Intro,Waking Dreams ft Laura Brehm,3 chord
18943,Warrant,"5,4,6",Verse and Pre-Chorus,I Saw Red,3 chord
18944,Flo Rida,"5,4,6",Verse,Good Feeling,3 chord
18945,Fountains of Wayne,"5,4,6",Chorus,Hey Julie,3 chord
18946,Fall Out Boy,"5,4,6",Chorus,Irresistible,3 chord
18947,Morgan Page,"5,4,6",Chorus,Body Work ft Tegan and Sara,3 chord
18948,Paris Blohm and Steerner,"5,4,6",Chorus,Fight Forever,3 chord
18949,Dirty South,"5,4,6",Chorus,Alive - Blinders Remix,3 chord
18950,Reez,"5,4,6",Bridge,Prophecy,3 chord
18951,Nicki Minaj,"5,4,6",Chorus,Va Va Voom,3 chord
18952,Nicki Minaj,"5,4,6",Verse and Pre-Chorus,Va Va Voom,3 chord
18953,Demi Lovato,"5,4,6",Verse and Pre-Chorus,Stone Cold,3 chord
18954,Demi Lovato,"5,4,6",Chorus,Stone Cold,3 chord
18955,Coleman Hell,"5,4,6",Chorus,2 Heads,3 chord
18956,Coleman Hell,"5,4,6",Instrumental,2 Heads,3 chord
18957,Paradise Lost,"5,4,6",Chorus,Mercy,3 chord
18958,Dax Johnson,"5,4,6",Chorus,The Random And The Purpose,3 chord
18959,The Connells,"5,4,6",Chorus,'74-'75,3 chord
18960,Eric Whitacre,"5,4,6",Intro and Verse,Sleep,3 chord
18961,Smallpools,"5,4,6",Intro,Dreaming,3 chord
18962,Kate Bush,"5,4,6",Verse,Suspended In Gaffa,3 chord
18963,Britney Spears,"5,4,6",Bridge,Criminal,3 chord
18964,Saves The Day,"5,4,6",Verse,Anywhere With You,3 chord
18965,Nightwish,"5,4,6",Verse and Pre-Chorus,Wish I Had An Angel,3 chord
18966,System of a Down,"5,4,6",Intro,Chop Suey,3 chord
18967,Beck,"5,4,6",Chorus,Blue Moon,3 chord
18968,Renaud,"5,4,6",Intro,Mistral Gagnant,3 chord
18969,Ozzy Osbourne,"5,4,6",Verse,Mr Crowley,3 chord
18970,Deakin,"5,4,6",Verse and Pre-Chorus,Golden Chords,3 chord
18971,The Coral,"5,4,6",Chorus,Dreaming Of You,3 chord
18972,Ola Gjeilo,"5,4,6",Intro,Ubi Caritas,3 chord
18973,Ahrix,"5,4,6",Chorus,Nova,3 chord
18974,Saiyapimp,"5,4,6",Verse,Asagao Academy Theme feat Kori,3 chord
18975,The Hotelier,"5,4,6",Intro,An Introduction To The Album,3 chord
18976,Marianas Trench,"5,4,6",Chorus,Pop 101,3 chord
18977,Imani Williams,"5,4,6",Pre-Chorus,Don't Need No Money ft Sigala and Blonde,3 chord
18978,Rebecca Sugar,"5,4,6",Bridge,Full Disclosure - Steven Universe,3 chord
18979,Tiny Moving Parts,"5,4,6",Intro,Headache,3 chord
18980,Tiny Moving Parts,"5,4,6",Chorus,Headache,3 chord
18981,Madonna,"5,4,6",Verse and Pre-Chorus,Mer Girl,3 chord
18982,Borknagar,"5,4,6",Chorus Lead-Out,Colossus,3 chord
18983,Mako,"5,4,6",Chorus,I Won't Let You Walk Away - Lost Kings Remix,3 chord
18984,Blink-182,"5,4,6",Verse,San Diego,3 chord
18985,Blink-182,"5,4,6",Verse and Pre-Chorus,No Future,3 chord
18986,John Denver,"5,4,3",Verse,Annie's Song,3 chord
18987,Miss A,"5,4,3",Chorus,Good-bye Baby,3 chord
18988,Missy Higgins,"5,4,3",Chorus,Night Minds,3 chord
18989,Missy Higgins,"5,4,3",Verse,Night Minds,3 chord
18990,Nobuo Uematsu,"5,4,3",Verse,Final Fantasy VI Boss Battle Theme,3 chord
18991,Better off alone,"5,4,3",Intro,Alice Deejay,3 chord
18992,Michel Telo,"5,4,3",Chorus,Ai Se Eu Te Pego,3 chord
18993,Avicii,"5,4,3",Intro,X You,3 chord
18994,Pink and FUN,"5,4,3",Chorus,Just Give Me A Reason,3 chord
18995,Daft Punk,"5,4,3",Pre-Chorus,Harder Better Faster Stronger,3 chord
18996,The Aprils,"5,4,3",Verse and Pre-Chorus,Magical Girls,3 chord
18997,Alice Deejay,"5,4,3",Chorus,Better off Alone,3 chord
18998,Warren Zevon,"5,4,3",Bridge,Please Stay,3 chord
18999,Eva Simons,"5,4,3",Pre-Chorus,I Don't Like You,3 chord
19000,Ennio Morricone,"5,4,3",Intro,The Good the Bad and the Ugly,3 chord
19001,Alice Deejay,"5,4,3",Verse,Better off Alone,3 chord
19002,Robin Thicke,"5,4,3",Intro,Blurred Lines,3 chord
19003,Robin Thicke,"5,4,3",Verse and Pre-Chorus,Blurred Lines,3 chord
19004,Robin Thicke,"5,4,3",Chorus,Blurred Lines,3 chord
19005,Robin Thicke,"5,4,3",Verse,Blurred Lines,3 chord
19006,Village People,"5,4,3",Verse,YMCA,3 chord
19007,They Might Be Giants,"5,4,3",Chorus,They'll Need A Crane,3 chord
19008,The Moody Blues,"5,4,3",Verse,Tuesday Afternoon,3 chord
19009,Dragonforce,"5,4,3",Intro,Through the Fire and Flames,3 chord
19010,Yeng Constantino,"5,4,3",Pre-Chorus and Chorus,Chinito,3 chord
19011,Panjabi MC,"5,4,3",Instrumental,Jogi,3 chord
19012,Onyanko Club,"5,4,3",Solo 2,Kaiinbango no Uta,3 chord
19013,Dobu Usagi,"5,4,3",Chorus,Thor's Hammer,3 chord
19014,Helloween,"5,4,3",Chorus,A tale that wasn't right,3 chord
19015,Zedd,"5,4,3",Chorus,Follow You Down,3 chord
19016,Blind Guardian,"5,4,3",Verse and Pre-Chorus,The Bard's Song,3 chord
19017,John Williams,"5,4,3",Verse,Carol Of The Bells,3 chord
19018,Two Steps From Hell,"5,4,3",Chorus,Birth of A Hero,3 chord
19019,Morgan Page vs Sultan and Ned Shepard vs BT,"5,4,3",Chorus,In The Air - Mord Fustang Remix,3 chord
19020,Nightmares On Wax,"5,4,3",Verse,Les Nuits,3 chord
19021,Bruno Mars,"5,4,3",Intro and Verse,Locked Out Of Heaven,3 chord
19022,Bruno Mars,"5,4,3",Pre-Chorus,Locked Out Of Heaven,3 chord
19023,Daft Punk ft Julian Casablancas,"5,4,3",Chorus,Instant Crush,3 chord
19024,Katy Perry,"5,4,3",Verse,Firework,3 chord
19025,Whitesnake,"5,4,3",Intro,Here I Go Again,3 chord
19026,Nintendo,"5,4,3",Verse,Yoshi's Island - Athletic Theme,3 chord
19027,Alligatoah,"5,4,3",Pre-Chorus and Chorus,Narben,3 chord
19028,The Solids,"5,4,3",Outro,Hey Beautiful,3 chord
19029,Les Friction,"5,4,3",Chorus,Come Back to Me,3 chord
19030,Les Friction,"5,4,3",Pre-Chorus,Come Back to Me,3 chord
19031,Katy Perry,"5,4,3",Bridge,I Kissed A Girl,3 chord
19032,Peter Schickele and Diana Lambert and Joan Baez,"5,4,3",Verse,Rejoice In The Sun,3 chord
19033,Lady Gaga,"5,4,3",Pre-Chorus,Just Dance,3 chord
19034,The Blue Hearts,"5,4,3",Verse,Linda Linda,3 chord
19035,Detail and Tiiu,"5,4,3",Verse,Days Go By,3 chord
19036,Hiroyuki Sawano,"5,4,3",Chorus,Mobile Suit Gundam Unicorn - UNICORN,3 chord
19037,Bad Lip Reading,"5,4,3",Chorus,Kicked Your Monkey,3 chord
19038,Mako,"5,4,3",Pre-Chorus and Chorus,Our Story,3 chord
19039,Naruto,"5,4,3",Instrumental,Sadness and Sorrow,3 chord
19040,Game Freak,"5,4,3",Pre-Chorus,Vs Suicune,3 chord
19041,Porter Robinson,"5,4,3",Pre-Chorus,Fresh Static Snow,3 chord
19042,Konami,"5,4,3",Instrumental,Operation C Ending Theme,3 chord
19043,Lisa Miskovsky,"5,4,3",Chorus,Still Alive-Mirror's Edge OST,3 chord
19044,Daft Punk,"5,4,3",Verse,Digital Love,3 chord
19045,Daft Punk,"5,4,3",Chorus,Digital Love,3 chord
19046,Calvin Harris,"5,4,3",Verse,We'll Be Coming Back,3 chord
19047,Magnetic Fields,"5,4,3",Verse,I've Run Away To Join The Fairies,3 chord
19048,Yogscast,"5,4,3",Bridge,Carrot For A Cock,3 chord
19049,Disgaea,"5,4,3",Intro and Verse,Prinny My Love,3 chord
19050,Riviera The Promised Land,"5,4,3",Verse,Elegant Melodies,3 chord
19051,Jakob Bienenhalm,"5,4,3",Chorus,Jockel der Gartenteichspringbrunnen,3 chord
19052,Weezer,"5,4,3",Solo,No One Else,3 chord
19053,aivi and surasshu,"5,4,3",Verse,Come Back,3 chord
19054,Rihanna And Kanye West And Paul McCartney,"5,4,3",Bridge,FourFiveSeconds,3 chord
19055,Jonathan Coulton,"5,4,3",Pre-Chorus and Chorus,Re Your Brains,3 chord
19056,Schoolhouse Rock,"5,4,3",Pre-Chorus and Chorus,Interplanet Janet,3 chord
19057,Absynthe Minded,"5,4,3",Chorus,End Of The Line,3 chord
19058,Yasunori Mitsuda,"5,4,3",Instrumental,Chrono Trigger - Frog's Theme,3 chord
19059,Flo Rida,"5,4,3",Pre-Chorus,Once In A Lifetime,3 chord
19060,Deathro,"5,4,3",Bridge,Mega Man Infamous Intent -Barbarian Plain,3 chord
19061,Florence and The Machine,"5,4,3",Chorus,Ship To Wreck,3 chord
19062,Monika Brodka,"5,4,3",Verse,W pieciu smakach,3 chord
19063,Alan Howarth-John Carpenter,"5,4,3",Intro,Escape From New York Main Theme,3 chord
19064,Hilary Duff,"5,4,3",Chorus Lead-Out,Sparks,3 chord
19065,Serge Gainsbourg,"5,4,3",Verse,Je t'aime - moi non plus,3 chord
19066,Pink Floyd,"5,4,3",Verse,Hey You,3 chord
19067,Old Spice,"5,4,3",Chorus,Dadsong,3 chord
19068,Twin Atlantic,"5,4,3",Chorus,Heart And Soul,3 chord
19069,The Mighty Mighty Bosstones,"5,4,3",Chorus,Sugar Free,3 chord
19070,Rustie,"5,4,3",Intro,After Light,3 chord
19071,Rustie,"5,4,3",Chorus,After Light,3 chord
19072,The Shins,"5,4,3",Chorus,Simple Song,3 chord
19073,The Wanted,"5,4,3",Chorus,Chasing The Sun,3 chord
19074,Zedd,"5,4,3",Chorus,Done With Love,3 chord
19075,Nintendo,"5,4,3",Chorus,Hyrule Field - Zelda Twilight Princess,3 chord
19076,Nintendo,"5,4,3",Verse,Tetris Attack - Water Stage,3 chord
19077,Antonim,"5,4,3",Verse,Melancholy Soldier,3 chord
19078,Tame Impala,"5,4,3",Intro and Verse,Love Paranoia,3 chord
19079,aylictal,"5,4,3",Verse and Pre-Chorus,dusk till dawn,3 chord
19080,Nintendo,"5,4,3",Verse,Stole My Bike,3 chord
19081,Seventeen and Ailee,"5,4,3",Chorus,Q and A,3 chord
19082,R3HAB and KSHMR,"5,4,3",Chorus,Strong,3 chord
19083,Wan Wan,"5,4,3",Intro,Surpass the Gate of the Silver Key,3 chord
19084,Wan Wan,"5,4,3",Verse,Surpass the Gate of the Silver Key,3 chord
19085,Galantis,"5,4,3",Chorus,Smile - Years Remix,3 chord
19086,Wan Wan,"5,4,3",Verse,Diva's Device,3 chord
19087,Kazumi Totaka,"5,4,3",Chorus,8PM,3 chord
19088,Nintendo,"5,4,3",Pre-Chorus and Chorus,Super Mario Land - Chai Kingdom,3 chord
19089,Eric Whitacre,"5,4,3",Chorus,Sleep,3 chord
19090,ClariS,"5,4,3",Pre-Chorus,Connect,3 chord
19091,Tenacious D,"5,4,3",Chorus,Classico,3 chord
19092,ZUN,"5,4,3",Pre-Chorus,Primordial Beat - Pristine Beat,3 chord
19093,Big Shake,"5,4,3",Intro and Verse,Big Shake,3 chord
19094,ZUN,"5,4,3",Intro,Gensokyo Millenium - History of the Moon,3 chord
19095,Rilo Kiley,"5,4,3",Verse,Breakin' Up,3 chord
19096,Covesthur,"5,4,3",Verse,Interesting Procedure,3 chord
19097,Ozzy Osbourne,"5,4,3",Intro,Mr Crowley,3 chord
19098,Ween,"5,4,3",Chorus,Happy Colored Marbles,3 chord
19099,Koji Kondo,"5,4,3",Chorus,Super Mario Bros 2 Ending,3 chord
19100,Lucky Boys Confusion,"5,4,3",Verse and Pre-Chorus,Closer To Our Graves,3 chord
19101,Brand New,"5,4,3",Chorus,Good To Know If I Ever Needed Attention,3 chord
19102,Eluveitie,"5,4,3",Intro,Inis Mona,3 chord
19103,Bonnie Tyler,"5,4,3",Chorus,It's a Heartache,3 chord
19104,Beach House,"5,4,3",Outro,Walk in the Park,3 chord
19105,Counting Crows,"5,2,4",Verse,A Long December,3 chord
19106,Demi Lovato,"5,2,4",Chorus,Here We Go Again,3 chord
19107,Foster the People,"5,2,4",Chorus,Pumped Up Kicks,3 chord
19108,Foster the People,"5,2,4",Verse,Pumped Up Kicks,3 chord
19109,Katy Perry,"5,2,4",Pre-Chorus,ET,3 chord
19110,Katy Perry,"5,2,4",Chorus,Wide Awake,3 chord
