0,cp,section,song,type,song (last.fm),artist (last.fm),listener count (last.fm),play count (last.fm),genre (last.fm),song (Spotify),artist (Spotify),popularity (Spotify),release date (Spotify)
Kanye West,"6,1,4",Verse,POWER,3 chord,Power,Kanye West,683797.0,5836241.0,"Hip-Hop, rap, hip hop, Kanye West, power",,,,
Kanye West,"6,4,5",Chorus,Runaway,3 chord,Runaway,Kanye West,327987.0,2365574.0,"Hip-Hop, hip hop, rap, Kanye West, 10s",Runaway,Kanye West,74.0,2010-01-01
Kaoma,"1,6,4",Verse,Lambada,3 chord,Lambada,Kaoma,132538.0,561212.0,"latin, dance, 80s, lambada, brazilian",,,,
Karina,"4,5,1",Chorus,Corazon Mentiroso,3 chord,Corazón Mentiroso,Karina,1339.0,3900.0,,,,,
Karmin,"1,6,5",Verse,Accapella,3 chord,Accapella,Karmin,14.0,24.0,,,,,
Kasabian,"6,1,5",Pre-Chorus and Chorus,Man Of Simple Pleasures,3 chord,Man of Simple Pleasures,Kasabian,153141.0,1019814.0,"indie rock, british, rock, indie, alternative rock",Man of Simple Pleasures,Kasabian,25.0,2011-09-16
Kasbo,"6,5,4",Verse,Kaleidoscope,3 chord,Kaleidoscope,Kasbo,13021.0,57990.0,"monstercat, electronic, 2010s, feel-good, future bass",Kaleidoscope,Kasbo,41.0,2014-09-10
Kaskade,"4,6,5",Chorus,Last Chance,3 chord,last chance,Kaskade,36675.0,147206.0,"dance, scarlett johansson, Last Chance, SHYLA STYLEZ, brooklyn decker",,,,
Kaskade,"4,1,5",Intro,Turn It Down - feat Rebecca and Fiona,3 chord,,,,,,,,,
Kaskade and Moguai,"6,3,4",Instrumental,Something Something Champs,3 chord,,,,,,,,,
Kastenholt and Dee,"6,4,1",Chorus,I'm In Love,3 chord,,,,,,,,,
Kastra,"6,1,4",Chorus,Hold A Light - Xristo Remix,3 chord,,,,,,,,,
Kate Bush,"5,4,5",Chorus,Cloudbusting,3 chord,Cloudbusting,Kate Bush,244989.0,1539439.0,"80s, female vocalists, pop, alternative, singer-songwriter",Cloudbusting,Kate Bush,63.0,1985
Kate Bush,"1,6,5",Chorus,Suspended In Gaffa,3 chord,Suspended in Gaffa,Kate Bush,67671.0,423066.0,"female vocalists, alternative, 80s, pop, experimental",,,,
Kate Bush,"1,4,5",Chorus,Wuthering Heights,3 chord,Wuthering Heights,Kate Bush,387477.0,2615986.0,"female vocalists, 80s, pop, alternative, singer-songwriter",Wuthering Heights,Kate Bush,69.0,1978-02-17
Kato,"5,1,5",Chorus,Celebrate Life - Stafford Brothers Remix,3 chord,Celebrate Life - Stafford Brothers Remix,Kato,166.0,451.0,,Celebrate Life - Stafford Brothers Remix,Kato,5.0,2012-06-18
Katy Perry,"4,5,6",Chorus,California Gurls,3 chord,California Gurls (feat. Snoop Dogg),Katy Perry,837455.0,6187089.0,"pop, katy perry, female vocalists, summer, dance",,,,
Katy Perry,"1,6,5",Intro,Dark Horse,3 chord,Dark Horse,Katy Perry,471208.0,3804727.0,"pop, dark horse, trap, r&b, katy perry",Dark Horse,Katy Perry,78.0,2013-01-01
Katy Perry,"6,4,2",Verse and Pre-Chorus,Dressin' Up,3 chord,Dressin' Up,Katy Perry,74825.0,624153.0,"pop, sexy, female vocalists, katy perry, electropop",Dressin' Up,Katy Perry,52.0,2012-03-12
Katy Perry,"1,4,5",Chorus,ET,3 chord,ET,Katy Perry,9160.0,80956.0,"favorite singer, Favoulrite singer",,,,
Katy Perry,"1,5,6",Chorus,Firework,3 chord,Firework,Katy Perry,917284.0,7898421.0,"pop, katy perry, female vocalists, firework, dance",Firework,Katy Perry,74.0,2012-03-12
Katy Perry,"1,5,6",Bridge,Hot N Cold,3 chord,Hot n Cold,Katy Perry,1004553.0,6471389.0,"pop, katy perry, dance, female vocalists, catchy",,,,
Katy Perry,"6,5,4",Bridge,I Kissed A Girl,3 chord,I Kissed a Girl,Katy Perry,1221697.0,8247887.0,"pop, female vocalists, katy perry, pop rock, rock",,,,
Katy Perry,"1,6,5",Verse,Legendary Lovers,3 chord,Legendary Lovers,Katy Perry,144532.0,1600728.0,"pop, epic, Legendary, love at first listen, queen of pop",Legendary Lovers,Katy Perry,57.0,2013-01-01
Katy Perry,"1,6,4",Chorus,Lost,3 chord,Lost,Katy Perry,268216.0,1357344.0,"pop, katy perry, pop rock, female vocalists, rock",,,,
Katy Perry,"1,4,5",Verse and Pre-Chorus,Part Of Me,3 chord,Part of Me,Katy Perry,357538.0,3407160.0,"pop, katy perry, female vocalists, dance, 2012",,,,
Katy Perry,"1,2,6",Verse,Roar,3 chord,Roar,Katy Perry,554252.0,6232178.0,"pop, katy perry, roar, 2013, female vocalists",Roar,Katy Perry,79.0,2013-01-01
Katy Perry,"6,4,1",Chorus,The One That Got Away,3 chord,The One That Got Away,Katy Perry,497959.0,4339296.0,"pop, katy perry, female vocalists, Love, relax",The One That Got Away,Katy Perry,74.0,2012-03-12
Katy Perry,"4,1,5",Verse,Thinking of You,3 chord,Thinking of You,Katy Perry,498990.0,4143225.0,"pop, katy perry, female vocalists, Love, romantic",,,,
Katy Perry,"4,5,6",Chorus,This Is How We Do,3 chord,This Is How We Do,Katy Perry,265005.0,2238996.0,"pop, dance, katy perry, max martin, catchy",This Is How We Do,Katy Perry,67.0,2013-01-01
Katy Perry,"1,5,6",Verse,Unconditionally,3 chord,Unconditionally,Katy Perry,268521.0,2545132.0,"pop, Ballad, katy perry, love at first listen, prism",Unconditionally,Katy Perry,75.0,2013-01-01
Katy Perry,"1,5,4",Chorus,Waking Up In Vegas,3 chord,Waking Up in Vegas,Katy Perry,548034.0,3405854.0,"pop, katy perry, female vocalists, pop rock, rock",,,,
Katy Perry,"1,5,2",Chorus,Wide Awake,3 chord,Wide Awake,Katy Perry,355277.0,3124368.0,"pop, katy perry, wide awake, love at first listen, female vocalists",Wide Awake,Katy Perry,69.0,2012-03-12
Kavinsky,"4,5,3",Chorus Lead-Out,Nightcall,3 chord,Nightcall,Kavinsky,491443.0,4270661.0,"electronic, chill, sexy, electro, drive",Nightcall,Kavinsky,70.0,2010
Kazoo Kid,"1,4,5",Pre-Chorus and Chorus,Special Friends,3 chord,,,,,,,,,
Kazumi Totaka,"1,4,1",Chorus,8PM,3 chord,8PM,Kazumi Totaka,60.0,164.0,,,,,
Kazumi Totaka,"1,4,1",Verse,Bubblegum KK,3 chord,bubblegum kk,Kazumi Totaka,1.0,1.0,,,,,
Kazumi Totaka,"4,5,1",Verse,Go KK Rider,3 chord,,,,,,,,,
Kazumi Totaka,"5,1,2",Verse,Kaeru no Tame ni - The Prince's Adventure,3 chord,,,,,,,,,
Keali'i Reichel,"1,4,5",Verse,Ka Nohona Pili Kai,3 chord,Ka Nohona Pili Kai,Keali'i Reichel,692.0,4908.0,"Hawaiian, alternative, world, tropical, polynesian",,,,
Keane,"4,6,5",Chorus,Silenced By The Night - Alesso Remix,3 chord,Silenced By The Night - Alesso Remix,Keane,16090.0,47237.0,90s alternative,Silenced By The Night - Alesso Remix,Keane,28.0,2012-01-01
Keane vs Basto,"6,5,4",Chorus,Bend and Break,3 chord,,,,,,,,,
Keiichi Suzuki,"1,5,6",Chorus,Eight Melodies,3 chord,Eight Melodies,Keiichi Suzuki,942.0,4845.0,"video game music, video game soundtrack, hear this, keiichi suzuki",,,,
Keith Jarrett,"1,4,5",Intro,Country,3 chord,Country,Keith Jarrett,12438.0,42992.0,"jazz, piano, Keith Jarrett, jazz piano, instrumental",,,,
Keith Moon,"1,5,1",Verse,Do Me Good,3 chord,Do Me Good,Keith Moon,1885.0,6114.0,"rock, 70s, beautiful, catchy cute, classic rock",,,,
Kelis,"4,5,6",Chorus,Brave,3 chord,Brave,Kelis,57714.0,394037.0,"dance, electronic, pop, electronica, Kelis",,,,
Kelis,"6,3,2",Chorus,Trick Me,3 chord,Trick Me,Kelis,289224.0,1225118.0,"rnb, Hip-Hop, pop, female vocalists, dance",,,,
Kelly Bailey,"6,5,2",Intro and Verse,Half Life 2 OST - Triage at Dawn,3 chord,,,,,,,,,
Kelly Clarkson,"1,5,6",Chorus,Already Gone,3 chord,Already Gone,Kelly Clarkson,261026.0,1797271.0,"pop, female vocalists, Kelly Clarkson, Ballad, american",Already Gone,Kelly Clarkson,59.0,2009-03-05
Kelly Clarkson,"4,5,6",Chorus,Because Of You,3 chord,Because of You,Kelly Clarkson,660022.0,4013935.0,"pop, Kelly Clarkson, female vocalists, pop rock, rock",Because of You,Kelly Clarkson,75.0,2004-01-17
Kelly Clarkson,"1,5,6",Verse and Pre-Chorus,Behind These Hazel Eyes,3 chord,Behind These Hazel Eyes,Kelly Clarkson,476253.0,2758125.0,"pop, Kelly Clarkson, rock, pop rock, female vocalists",Behind These Hazel Eyes,Kelly Clarkson,62.0,2004-01-17
Kelly Clarkson,"1,5,6",Pre-Chorus and Chorus,Breakaway,3 chord,Breakaway,Kelly Clarkson,529189.0,2863670.0,"pop, Kelly Clarkson, female vocalists, pop rock, rock",Breakaway,Kelly Clarkson,67.0,2004-01-17
Kelly Clarkson,"4,5,6",Verse and Pre-Chorus,Catch My Breath,3 chord,Catch My Breath,Kelly Clarkson,100531.0,824462.0,"pop, female vocalists, 10s, pop rock, 2012",Catch My Breath,Kelly Clarkson,56.0,2012-11-19
Kelly Clarkson,"4,5,6",Chorus,Catching My Breath,3 chord,Catching My Breath,Kelly Clarkson,4.0,11.0,,,,,
Kelly Clarkson,"1,5,6",Chorus,Heartbeat Song,3 chord,Heartbeat Song,Kelly Clarkson,142488.0,964208.0,"pop, 2015, love at first listen, Jimmy Eat World, Kelly Clarkson",Heartbeat Song,Kelly Clarkson,69.0,2015-02-27
Kelly Clarkson,"1,5,6",Verse,My Grown Up Christmas Wish,3 chord,My Grown Up Christmas Wish,Kelly Clarkson,41.0,220.0,,,,,
Kelly Clarkson,"1,4,1",Pre-Chorus and Chorus,My Life Would Suck Without You,3 chord,My Life Would Suck Without You,Kelly Clarkson,437621.0,3245807.0,"pop, Kelly Clarkson, female vocalists, pop rock, rock",My Life Would Suck Without You,Kelly Clarkson,64.0,2009-03-06
Kelly Clarkson,"1,4,6",Chorus,Since U Been Gone,3 chord,Since U Been Gone,Kelly Clarkson,661239.0,3684040.0,"pop, Kelly Clarkson, female vocalists, rock, pop rock",Since U Been Gone,Kelly Clarkson,75.0,2004-01-17
Kelly Clarkson,"6,4,1",Chorus,Stronger,3 chord,Stronger,Kelly Clarkson,29561.0,382994.0,"pop, female vocalists, pop rock, pop music tag, idontcareilikeit",,,,
Kelly Clarkson,"1,5,4",Chorus,Walk Away,3 chord,Walk Away,Kelly Clarkson,311865.0,1532529.0,"pop, rock, pop rock, Kelly Clarkson, female vocalists",Walk Away,Kelly Clarkson,51.0,2004-01-17
Ken'ichi Ookuma,"4,5,6",Chorus,Crossbone Gundam - Crossbone Vanguard,3 chord,,,,,,,,,
Kenji Kaneko,"6,4,5",Chorus,Hyperdimension Neptunia V - Elegy,3 chord,,,,,,,,,
Kenn Starr,"6,5,2",Instrumental,Back At It Again,3 chord,Back at It Again,Kenn Starr,1482.0,4142.0,"2006, halftooth",,,,
Kenny Chesney,"4,5,1",Chorus,Summertime,3 chord,Summertime,Kenny Chesney,91840.0,351304.0,"country, Kenny Chesney, summertime, summer, good mood",Summertime,Kenny Chesney,58.0,2005-11-06
Kenny Chesney,"4,5,1",Verse,The Road And The Radio,3 chord,The Road and the Radio,Kenny Chesney,11415.0,39444.0,"country, Good Stuff, my soundtrack, hand-picked country, seen live",The Road and the Radio,Kenny Chesney,35.0,2005-11-06
Kenny Loggins,"1,4,1",Verse,Footloose,3 chord,Footloose,Kenny Loggins,425355.0,1799897.0,"80s, Soundtrack, pop, rock, footloose",Footloose,Kenny Loggins,71.0,1997-03-25
Kenny Rogers,"1,5,1",Chorus,The Gambler,3 chord,The Gambler,Kenny Rogers,189312.0,807019.0,"country, kenny rogers, classic country, 70s, oldies",The Gambler,Kenny Rogers,72.0,1978-01-01
Kenshi Yonezu,"1,6,5",Intro,Vivi,3 chord,vivi,米津玄師,3390.0,45204.0,"japanese, j-pop",,,,
Kenshi Yonezu,"1,5,6",Chorus,Wooden Doll,3 chord,WOODEN DOLL,米津玄師,2428.0,25422.0,"japanese, j-pop",,,,
Kent,"6,5,4",Chorus,Duett,3 chord,Duett,Kent,47617.0,290305.0,"rock, swedish, Kent, pop, indie",,,,
Kent,"1,6,3",Intro,Jag ser dig,3 chord,Jag ser dig,Kent,28365.0,202530.0,"rock, indie, alternative, alternative rock, swedish",,,,
Kent,"1,4,6",Intro,Petroleum,3 chord,Petroleum,Kent,29188.0,234924.0,"rock, indie, alternative, alternative rock, swedish",,,,
Kenta Kiritani,"1,5,4",Chorus,Umi no Koe,3 chord,Umi no Koe,Kenta Kiritani,9.0,72.0,,,,,
Kenta Nagata,"6,5,4",Intro,Dragon Roost Island,3 chord,Dragon Roost Island,永田権太,651.0,3463.0,"video game music, Super Smash Bros Brawl",,,,
Keri Hilson,"1,5,2",Chorus,Lose Control,3 chord,Lose Control,Keri Hilson,3279.0,66401.0,"rhythum and blues tag, Anelia, eleni",,,,
Keri Hilson,"4,5,1",Chorus,Pretty Girl Rock,3 chord,Pretty Girl Rock,Keri Hilson,195957.0,861902.0,"pop, keri hilson, rnb, r&b, female vocalists",Pretty Girl Rock,Keri Hilson,67.0,2010-01-01
Kesha,"1,4,6",Chorus,C'Mon,3 chord,C'mon,Ke$ha,160241.0,2490202.0,"pop, dance, electropop, love at first listen, female vocalists",,,,
Kesha,"1,4,5",Pre-Chorus,Die Young,3 chord,Die Young,Ke$ha,406226.0,4857384.0,"pop, dance, party, female vocalists, catchy",,,,
Kesha,"4,5,6",Chorus,Tik Tok,3 chord,TiK ToK,Ke$ha,1358968.0,10370292.0,"dance, pop, party, Tik Tok, electropop",,,,
Kesha,"1,4,6",Intro,We R Who We R,3 chord,We R Who We R,Ke$ha,492633.0,4716169.0,"pop, dance, electronic, female vocalists, kesha",,,,
Kevin Gates,"4,5,6",Chorus,2 Phones,3 chord,2 Phones,Kevin Gates,61183.0,318757.0,"rap, hip hop, american, hiphop, fip",2 Phones,Kevin Gates,72.0,2016-01-29
Kevin Lyttle,"6,5,4",Chorus,Turn Me On,3 chord,Turn Me On,Kevin Lyttle,175935.0,757483.0,"dancehall, reggae, soca, Kevin Lyttle, pop",Turn Me On,Kevin Lyttle,68.0,2004-03-30
Kevin MacLeod,"4,5,6",Chorus,Sovereign,3 chord,Sovereign,Kevin Macleod,384.0,2117.0,,,,,
Kevin Phetsomphou,"6,5,2",Pre-Chorus,Kevvviiinnn - Stage 50,3 chord,,,,,,,,,
Kid Cudi,"1,4,6",Chorus,Pursuit of Happiness,3 chord,Pursuit of Happiness,Kid Cudi,64727.0,542029.0,"Hip-Hop, hip hop, if you fall in love with me you should know these songs by heart, alternative, male vocalists",,,,
Kid Rock,"1,5,4",Chorus,Picture ft Sheryl Crow,3 chord,PICTURE FT SHERYL CROW,Kid Rock,63.0,409.0,,,,,
Kids Songs,"1,5,1",Outro,Old MacDonald Had a Farm,3 chord,Old MacDonald Had A Farm,Kids Songs,96.0,212.0,,,,,
Kiesza,"6,4,5",Verse and Pre-Chorus,Hideaway,3 chord,Hideaway,Kiesza,326504.0,2363395.0,"dance, electronic, deep house, House, 2014",Hideaway,Kiesza,57.0,2014-10-21
Kill Paris,"6,3,6",Verse,To A New Earth - Gramatik Remix,3 chord,To A New Earth - Gramatik Remix,Kill Paris,2378.0,6876.0,,To A New Earth - Gramatik Remix,Kill Paris,20.0,2013
Killswitch Engage,"4,5,6",Verse,In Due Time,3 chord,In Due Time,Killswitch Engage,71756.0,623759.0,"metalcore, metal, hardcore, Melodic Death Metal, wrif-fm",In Due Time,Killswitch Engage,56.0,2013-03-29
Killswitch Engage,"4,5,6",Chorus,When Darkness Falls,3 chord,When Darkness Falls,Killswitch Engage,230846.0,1260502.0,"metalcore, metal, hardcore, killswitch engage, Melodic Death Metal",When Darkness Falls,Killswitch Engage,46.0,2004-05-03
Kim Carnes,"4,6,5",Intro,Bette Davis Eyes,3 chord,Bette Davis Eyes,Kim Carnes,372498.0,1780203.0,"80s, pop, female vocalists, rock, kim carnes",Bette Davis Eyes,Kim Carnes,73.0,1981-01-01
King Harvest,"5,1,56",Intro,Dancing In The Moonlight,3 chord,Dancing In The Moonlight,King Harvest,98894.0,541544.0,"70s, classic rock, pop, oldies, happy",,,,
Kino,"1,4,1",Verse,Bezdelnik,3 chord,,,,,,,,,
Kinuyo Yamashita,"4,5,6",Instrumental,Castlevania - Vampire Killer,3 chord,Castlevania - Vampire Killer,Kinuyo Yamashita,251.0,834.0,,,,,
Kinuyo Yamashita,"1,2,6",Chorus,Mega Man The Wily Wars - Wily Tower 4,3 chord,,,,,,,,,
Kinuyo Yamashita,"4,5,6",Verse,Mega Water S Stage,3 chord,,,,,,,,,
Kitaro,"1,2,4",Verse,Jubei's Theme,3 chord,Jubei's Theme,Kitaro,10343.0,21981.0,"anime, Soundtrack, instrumental, Anime music, Kitaro",Jubei's Theme,Kitaro,11.0,2003-08-26
Klaas,"1,5,6",Intro and Verse,Heartbeat,3 chord,Heartbeat,Klaas,955.0,5446.0,"pop, female vocalists, dance, kim petras",,,,
Klangkarussell,"4,1,5",Verse,Sonnentanz,3 chord,Sonnentanz,Klangkarussell,184906.0,1091863.0,"electro, chillout, minimal, House, chill",Sonnentanz,Klangkarussell,46.0,2014-07-28
Klaus Badelt,"1,5,6",Verse,He's a Pirate,3 chord,He's a Pirate,Klaus Badelt,216773.0,1431917.0,"Soundtrack, instrumental, Pirates of the Caribbean, epic, pirate",He's a Pirate,Klaus Badelt,61.0,2003-07-22
Klaxons,"6,5,2",Intro,Golden Skans,3 chord,Golden Skans,Klaxons,794661.0,5456426.0,"indie, new rave, indie rock, british, electronic",Golden Skans,Klaxons,67.0,2007
Kleerup,"1,4,6",Chorus,Longing for Lullabies ft Titiyo,3 chord,Longing For Lullabies ft Titiyo,Kleerup,8.0,112.0,,,,,
Klingande,"6,4,1",Chorus,Jubel,3 chord,Jubel,Klingande,124127.0,785427.0,"electronic, pop, lounge, easy listening, House",Jubel,Klingande,62.0,2014-03-11
Klingande,"1,5,6",Verse,Punga,3 chord,Punga,Klingande,45913.0,209733.0,"electronic, dance, deep house, tropical house, pop",Punga,Klingande,50.0,2014-03-11
Knife Party,"4,5,6",Intro and Verse,Baghdad,3 chord,Baghdad,Knife Party,382.0,1916.0,,,,,
Knife Party,"5,6,5",Bridge,Bonfire,3 chord,Bonfire,Knife Party,198496.0,1340448.0,"dubstep, electronic, drumstep, Drum and bass, Brostep",Bonfire,Knife Party,65.0,2012
Knife Party,"1,5,6",Solo,Fire Hive,3 chord,Fire Hive,Knife Party,63573.0,390675.0,"dubstep, electronic, drumstep, glitch house, makes me jumping in my room",Fire Hive,Knife Party,45.0,2012-08-01
Knife Party,"6,4,2",Intro and Verse,Give It Up,3 chord,Give It Up,Knife Party,41811.0,253317.0,"electronic, dubstep, drumstep, reggae, Drum and bass",Give It Up,Knife Party,46.0,2014-11-04
Knife Party,"4,5,6",Bridge,Rage Valley,3 chord,Rage Valley,Knife Party,86195.0,492867.0,"dubstep, electro house, Brostep, electronic, electro",Rage Valley,Knife Party,50.0,2012
Knife Party,"4,5,6",Verse,Reconnect,3 chord,Reconnect,Knife Party,21567.0,84082.0,"electronic, dance, trance, alternative, australian",Reconnect,Knife Party,30.0,2014-11-04
Knife Party,"5,2,4",Bridge,Tourniquet,3 chord,Tourniquet,Knife Party,41427.0,206753.0,"electro house, electronic, dubstep, House, electronica",Tourniquet,Knife Party,40.0,2012-08-01
Koda,"4,5,6",Verse,Staying,3 chord,Staying,Koda,31997.0,125571.0,"ambient, chillstep, chillout, electronic, Dreamy",Staying,Koda,44.0,2014-03-18
Kodaline,"1,5,4",Intro,One Day,3 chord,One Day,Kodaline,102201.0,531839.0,"indie rock, nu jazz, seen live, indie, nujazz",,,,
Koji Kondo,"4,5,6",Verse,Athletic BGM Super Mario Bros 3,3 chord,,,,,,,,,
Koji Kondo,"1,4,5",Pre-Chorus,Dark World Theme - The Legend of Zelda ALttP,3 chord,,,,,,,,,
Koji Kondo,"4,5,1",Verse,Karkariko Village,3 chord,Kakariko Village,近藤浩治,31952.0,170876.0,"video game music, Zelda, Soundtrack, instrumental, Game Music",,,,
Koji Kondo,"6,2,1",Chorus,Legend of Zelda - Hyrule Castle,3 chord,,,,,,,,,
Koji Kondo,"4,5,4",Verse,Link to the Past - Minigame Theme,3 chord,,,,,,,,,
Koji Kondo,"1,4,1",Verse,Mario 64 - File Select,3 chord,Mario 64 - File Select,近藤浩治,9.0,58.0,,,,,
Koji Kondo,"1,4,5",Bridge,Rosalina In The Observatory,3 chord,Rosalina in the Observatory,近藤浩治,5.0,39.0,,,,,
Koji Kondo,"5,2,3",Verse,Super Mario 64 - Bowser's Road,3 chord,Super Mario 64 - Bowser's Road,近藤浩治,1.0,2.0,,,,,
Koji Kondo,"4,5,4",Intro,Super Mario 64 - Dire Dire Docks,3 chord,Super Mario 64 - Dire Dire Docks,近藤浩治,3.0,6.0,,,,,
Koji Kondo,"6,5,4",Chorus,Super Mario Bros 2 Ending,3 chord,,,,,,,,,
Koji Kondo,"1,5,1",Verse,Super Mario Bros 3 - Overworld,3 chord,Super Mario Bros 3 - Overworld,近藤浩治,3.0,17.0,,,,,
Koji Kondo,"1,4,1",Verse,Super Mario Bros Overworld Theme,3 chord,,,,,,,,,
Koji Makaino,"1,4,1",Chorus,Combat Mecha Xabungle - Blue Flash,3 chord,,,,,,,,,
Kolsch,"1,2,3",Chorus,All That Matters - Kryder Remix,3 chord,,,,,,,,,
Konami,"5,2,4",Intro,Castlevania AoS - Epilogue,3 chord,,,,,,,,,
Konami,"1,4,5",Intro,Morning Music,3 chord,Morning Music,Konami,39.0,260.0,,,,,
Konami,"1,2,5",Chorus,Operation C - Area 2,3 chord,,,,,,,,,
Konami,"4,5,4",Instrumental,Operation C Ending Theme,3 chord,,,,,,,,,
Konami,"4,6,5",Verse,Theme of Simon Belmont,3 chord,Theme of Simon Belmont,Konami,174.0,896.0,,,,,
Konami,"4,5,6",Chorus,Ys VI - Release of the Far West Ocean,3 chord,,,,,,,,,
Kongos,"1,6,1",Intro,Come With Me Now,3 chord,Come With Me Now,Kongos,227600.0,1500545.0,"alternative rock, rock, modern rock, burlesque, alternative",,,,
Korn,"4,6,1",Pre-Chorus,Get Up,3 chord,Get Up,Korn,19361.0,153804.0,"dubstep, Nu Metal, techno, Korn, Dubmeth",,,,
Kors K,"5,1,56",Chorus,Instead Of The Pills,3 chord,Instead Of The Pills,kors k,2250.0,13843.0,"electronic, instrumental, hardcore, techno, happy hardcore",Instead Of The Pills,kors k,8.0,2011-12-21
Kors K,"4,5,1",Pre-Chorus,SigSig,3 chord,SigSig,kors k,4345.0,52668.0,"happy hardcore, makina, Bemani, beatmaniaIIDX, beatmania",,,,
Kors-K--DJ-Command,"1,5,6",Chorus,Smooooch---Akiba-Kobo-Remix-,3 chord,,,,,,,,,
Kotoba no Puzzle,"1,4,5",Pre-Chorus and Chorus,Futari no Mojipittan,3 chord,,,,,,,,,
Kousaki Satoru - Hata Aki,"4,5,1",Chorus,Motteke Sailor Fuku,3 chord,,,,,,,,,
Kow Otani,"4,5,6",Verse,The Wings of a Boy Who Killed Adolescence,3 chord,The Wings of a Boy Who Killed Adolescence,大谷幸,28.0,281.0,,,,,
Krewella,"1,5,4",Chorus,Alive,3 chord,Alive,Krewella,143506.0,1005506.0,"electronic, House, dubstep, dance, Progressive House",Alive,Krewella,57.0,2012-06-18
Krewella,"1,5,4",Pre-Chorus,Enjoy the Ride,3 chord,Enjoy the Ride,Krewella,59190.0,337258.0,"electronic, dance, pop, House, dubstep",Enjoy the Ride,Krewella,53.0,2013-09-20
Krewella,"4,5,6",Intro,Human,3 chord,Human,Krewella,30465.0,218169.0,"dubstep, depression, sadness, sympathy, electronic",,,,
Krewella,"4,5,6",Instrumental,Live for the Night,3 chord,Live for the Night,Krewella,81227.0,506404.0,"electronic, dance, krewella, cant even express how much i love this song, pop",Live for the Night,Krewella,55.0,2013-09-20
Krewella,"1,4,5",Verse and Pre-Chorus,One Minute,3 chord,One Minute,Krewella,42289.0,244041.0,"dubstep, electronic, electropop, under 2000 listeners, indie",One Minute,Krewella,44.0,2012-06-18
Kristen Bell,"5,1,56",Verse,Do You Want To Build A Snowman,3 chord,Do You Want To Build A Snowman,Kristen Bell,819.0,3144.0,,,,,
Kristen Bell and Idina Menzel,"4,5,1",Chorus,For the First Time in Forever,3 chord,For the First Time in Forever,Kristen Bell & Idina Menzel,18964.0,198646.0,"Soundtrack, Disney, makes me cry, movie soundtrack, frozen",,,,
Kristin Chenoweth and Idina Menzel,"4,5,1",Bridge,Defying Gravity,3 chord,Defying Gravity,Kristin Chenoweth and Idina Menzel,131.0,974.0,,,,,
Kumi Tanioka  ,"1,2,4",Intro,Promised Moisture ,3 chord,,,,,,,,,
Kurt Vile,"1,2,4",Verse,Jesus Fever,3 chord,Jesus Fever,Kurt Vile,133711.0,681266.0,"indie, indie rock, singer-songwriter, Lo-Fi, psychedelic",Jesus Fever,Kurt Vile,39.0,2011
Kurt Vile,"1,5,4",Chorus,KV Crimes,3 chord,KV Crimes,Kurt Vile,96176.0,460086.0,"folk rock, 10s, indie, rock, alternative",KV Crimes,Kurt Vile,42.0,2013-04-08
Kwabs,"4,6,1",Chorus,Walk,3 chord,Walk,Kwabs,109385.0,727805.0,"pop, soul, british, england, Neo-Soul",,,,
Kwan Hendry and SoulCream,"6,5,6",Chorus,Don't Give Up - Nause Remix,3 chord,,,,,,,,,
Kyary Pamyu Pamyu,"4,6,5",Chorus,PONPONPON,3 chord,PONPONPON,kyary pamyu pamyu,41877.0,330128.0,"j-pop, pop, japanese, female vocalists, dance",,,,
Kygo,"6,1,4",Solo,Stole The Show,3 chord,Stole The Show,Kygo,276085.0,1875822.0,"tropical house, electronic, pop, dance, House",,,,
Kygo feat Conrad,"1,4,5",Chorus,Firestone,3 chord,Firestone,Kygo Feat Conrad,1408.0,22552.0,,,,,
Kygo ft Maty Noyes,"1,4,1",Instrumental,Stay,3 chord,Stay,Kygo ft Maty Noyes,97.0,790.0,,,,,
Kyle Gabler,"4,5,6",Chorus,World of Goo - Rain Rain Windy Windy,3 chord,,,,,,,,,
Kyle Justin,"1,5,6",Chorus,The Angry Video Game Nerd Theme Song,3 chord,The angry video game nerd theme song,Kyle Justin,37.0,631.0,,,,,
Kylie Minogue,"6,1,4",Chorus,2 Hearts,3 chord,2 Hearts,Kylie Minogue,208943.0,1319842.0,"pop, dance, sexy, female vocalists, Kylie Minogue",,,,
Kylie Minogue,"6,1,3",Instrumental,Can't Get You Out Of My Head,3 chord,Can't Get You Out of My Head,Kylie Minogue,593541.0,3274309.0,"pop, dance, Kylie Minogue, female vocalists, australian",Can't Get You Out of My Head,Kylie Minogue,3.0,2019-10-25
Kylie Minogue,"1,2,3",Verse,Come Into My World,3 chord,Come Into My World,Kylie Minogue,178954.0,1006267.0,"pop, dance, female vocalists, electronic, australian",,,,
Kylie Minogue,"1,2,5",Chorus,Get Outta My Way,3 chord,Get Outta My Way,Kylie Minogue,179061.0,2543299.0,"pop, dance, female vocalists, love at first listen, electronic",Get Outta My Way,Kylie Minogue,58.0,2010-07-05
Kylie Minogue,"4,5,3",Chorus,I Should Be So Lucky,3 chord,I Should Be So Lucky,Kylie Minogue,128400.0,637839.0,"pop, 80s, dance, female vocalists, Kylie Minogue",I Should Be So Lucky,Kylie Minogue,49.0,1988-07-04
